,word,polyglot,afinn
872,",",0,0.0
873,selv,0,0.0
874,den,0,0.0
875,stygge,0,0.0
876,",",0,0.0
877,graae,0,0.0
878,Unge,0,0.0
879,svømmede,0,0.0
880,med,0,0.0
881,.,0,0.0
882,»,0,0.0
883,Nei,0,0.0
884,",",0,0.0
885,det,0,0.0
886,er,0,0.0
887,ingen,0,0.0
888,Kalkun,0,0.0
889,!,0,0.0
890,«,0,0.0
891,sagde,0,0.0
892,hun,0,0.0
893,;,0,0.0
894,»,0,0.0
895,see,0,0.0
896,hvor,0,0.0
897,deiligt,0,0.0
898,den,0,0.0
899,bruger,0,0.0
900,Benene,0,0.0
901,",",0,0.0
902,hvor,0,0.0
903,rank,0,0.0
904,den,0,0.0
905,holder,0,0.0
906,sig,0,0.0
907,!,0,0.0
908,det,0,0.0
909,er,0,0.0
910,min,0,0.0
911,egen,0,0.0
912,Unge,0,0.0
913,!,0,0.0
914,igrunden,0,0.0
915,er,0,0.0
916,den,0,0.0
917,dog,0,0.0
918,ganske,0,0.0
919,kjøn,0,0.0
920,",",0,0.0
921,naar,0,0.0
922,man,0,0.0
923,rigtig,1,0.0
924,seer,0,0.0
925,paa,0,0.0
926,den,0,0.0
927,!,0,0.0
928,rap,-1,0.0
929,!,0,0.0
930,rap,-1,0.0
931,!,0,0.0
932,-,0,0.0
933,kom,0,0.0
934,nu,0,0.0
935,med,0,0.0
936,mig,0,0.0
937,",",0,0.0
938,saa,0,0.0
939,skal,0,0.0
940,jeg,0,0.0
941,føre,1,0.0
942,Jer,0,0.0
943,ind,0,0.0
944,i,0,0.0
945,Verden,0,0.0
946,",",0,0.0
947,12,0,0.0
948,Skarn,0,0.0
949,],0,0.0
950,Skarn,0,0.0
951,",",0,0.0
952,C,0,0.0
953,",",0,0.0
954,Skarn,0,0.0
955,!,0,0.0
956,B,0,0.0
957,.,0,0.0
958,16,0,0.0
959,blevet,0,0.0
960,],0,0.0
961,bleven,0,0.0
962,D,0,0.0
963,.,0,0.0
964,21,0,0.0
965,paa,0,0.0
966,det,0,0.0
967,lidt,-1,0.0
968,],0,0.0
969,lidt,-1,0.0
970,paa,0,0.0
971,det,0,0.0
972,A3,0,0.0
973,.,0,0.0
974,27,0,0.0
975,saadanne,0,0.0
976,],0,0.0
977,saaledes,0,0.0
978,D,0,0.0
979,.,0,0.0
980,35,0,0.0
981,fløde,0,0.0
982,],0,0.0
983,flød,0,0.0
984,B.og,0,0.0
985,præsentere,0,0.0
986,Jer,0,0.0
987,i,0,0.0
988,Andegaarden,0,0.0
989,",",0,0.0
990,men,0,0.0
991,hold,0,0.0
992,Jer,0,0.0
993,altid,0,0.0
994,nær,0,0.0
995,ved,0,0.0
996,mig,0,0.0
997,",",0,0.0
998,at,0,0.0
999,ingen,0,0.0
1000,træder,0,0.0
1001,paa,0,0.0
1002,Jer,0,0.0
1003,",",0,0.0
1004,og,0,0.0
1005,tag,0,0.0
1006,Jer,0,0.0
1007,iagt,0,0.0
1008,for,0,0.0
1009,Kattene,0,0.0
1010,!,0,0.0
1011,«,0,0.0
1012,Og,0,0.0
1013,saa,0,0.0
1014,kom,0,0.0
1015,de,0,0.0
1016,ind,0,0.0
1017,i,0,0.0
1018,Andegaarden,0,0.0
1019,.,0,0.0
1020,Der,0,0.0
1021,var,0,0.0
1022,en,0,0.0
1023,skrækkelig,-1,0.0
1024,Støi,0,0.0
1025,derinde,0,0.0
1026,",",0,0.0
1027,thi,0,0.0
1028,der,0,0.0
1029,var,0,0.0
1030,to,0,0.0
1031,Familier,0,0.0
1032,",",0,0.0
1033,som,1,0.0
1034,sloges,0,0.0
1035,om,0,0.0
1036,et,0,0.0
1037,Aalehoved,0,0.0
1038,",",0,0.0
1039,og,0,0.0
1040,saa,0,0.0
1041,fik,0,2.0
1042,dog,0,0.0
1043,Katten,0,0.0
1044,det,0,0.0
1045,.,0,0.0
1046,»,0,0.0
1047,See,0,0.0
1048,",",0,0.0
1049,saaledes,0,0.0
1050,gaaer,0,0.0
1051,det,0,0.0
1052,til,0,0.0
1053,i,0,0.0
1054,Verden,0,0.0
1055,!,0,0.0
1056,«,0,0.0
1057,sagde,0,0.0
1058,Ællingemoderen,0,0.0
1059,",",0,0.0
1060,og,0,0.0
1061,slikkede,0,0.0
1062,sig,0,0.0
1063,om,0,0.0
1064,Snabelen,0,0.0
1065,",",0,0.0
1066,for,0,0.0
1067,hun,0,0.0
1068,vilde,-1,0.0
1069,ogsaa,0,0.0
1070,have,0,0.0
1071,Aalehovedet,0,0.0
1072,.,0,0.0
1073,»,0,0.0
1074,Brug,0,0.0
1075,nu,0,0.0
1076,Benene,0,0.0
1077,!,0,0.0
1078,«,0,0.0
1079,sagde,0,0.0
1080,hun,0,0.0
1081,",",0,0.0
1082,»,0,0.0
1083,see,0,0.0
1084,",",0,0.0
1085,at,0,0.0
1086,I,0,0.0
1087,kunne,0,0.0
1088,rappe,-1,0.0
1089,Jer,0,0.0
1090,",",0,0.0
1091,og,0,0.0
1092,nei,0,0.0
1093,med,0,0.0
1094,Halsen,0,0.0
1095,for,0,0.0
1096,den,0,0.0
1097,gamle,0,0.0
1098,And,0,0.0
1099,derhenne,0,0.0
1100,!,0,0.0
1101,hun,0,0.0
1102,er,0,0.0
1103,den,0,0.0
1104,fornemste,0,0.0
1105,af,0,0.0
1106,dem,0,0.0
1107,Alle,0,0.0
1108,her,0,0.0
1109,!,0,0.0
1110,hun,0,0.0
1111,er,0,0.0
1112,af,0,0.0
1113,spansk,0,0.0
1114,Blod,0,0.0
1115,",",0,0.0
1116,derfor,0,0.0
1117,er,0,0.0
1118,hun,0,0.0
1119,svær,-1,-2.0
1120,",",0,0.0
1121,og,0,0.0
1122,see,0,0.0
1123,I,0,0.0
1124,",",0,0.0
1125,hun,0,0.0
1126,har,0,0.0
1127,en,0,0.0
1128,rød,0,0.0
1129,Klud,0,0.0
1130,om,0,0.0
1131,Benet,0,0.0
1132,!,0,0.0
1133,det,0,0.0
1134,er,0,0.0
1135,noget,0,0.0
1136,overordentligt,0,0.0
1137,deiligt,0,0.0
1138,",",0,0.0
1139,og,0,0.0
1140,den,0,0.0
1141,største,0,0.0
1142,Udmærkelse,0,0.0
1143,nogen,0,0.0
1144,And,0,0.0
1145,kan,0,0.0
1146,faae,0,0.0
1147,",",0,0.0
1148,det,0,0.0
1149,betyder,0,0.0
1150,saameget,0,0.0
1151,",",0,0.0
1152,at,0,0.0
1153,man,0,0.0
1154,ikke,0,0.0
1155,vil,0,0.0
1156,af,0,0.0
1157,med,0,0.0
1158,hende,0,0.0
1159,",",0,0.0
1160,og,0,0.0
1161,at,0,0.0
1162,hun,0,0.0
1163,skal,0,0.0
1164,kjendes,0,0.0
1165,af,0,0.0
1166,Dyr,0,0.0
1167,og,0,0.0
1168,af,0,0.0
1169,Mennesker,0,0.0
1170,!,0,0.0
1171,-,0,0.0
1172,Rap,0,0.0
1173,Jer,0,0.0
1174,!,0,0.0
1175,-,0,0.0
1176,ikke,0,0.0
1177,ind,0,0.0
1178,til,0,0.0
1179,Beens,0,0.0
1180,!,0,0.0
1181,en,0,0.0
1182,velopdragen,0,2.0
1183,Ælling,0,0.0
1184,sætter,0,0.0
1185,Benene,0,0.0
1186,vidt,0,0.0
1187,fra,0,0.0
1188,hinanden,0,0.0
1189,",",0,0.0
1190,ligesom,1,0.0
1191,Fader,0,0.0
1192,og,0,0.0
1193,Moder,0,0.0
1194,!,0,0.0
1195,see,0,0.0
1196,saa,0,0.0
1197,!,0,0.0
1198,nei,0,0.0
1199,nu,0,0.0
1200,med,0,0.0
1201,Halsen,0,0.0
1202,og,0,0.0
1203,siig,0,0.0
1204,:,0,0.0
1205,rap,-1,0.0
1206,!,0,0.0
1207,«,0,0.0
1208,Og,0,0.0
1209,det,0,0.0
1210,gjorde,0,0.0
1211,de,0,0.0
1212,;,0,0.0
1213,men,0,0.0
1214,de,0,0.0
1215,andre,0,0.0
1216,Ænder,0,0.0
1217,rundt,0,0.0
1218,om,0,0.0
1219,saae,0,0.0
1220,paa,0,0.0
1221,dem,0,0.0
1222,og,0,0.0
1223,sagde,0,0.0
1224,ganske,0,0.0
1225,høit,0,0.0
1226,:,0,0.0
1227,»,0,0.0
1228,see,0,0.0
1229,saa,0,0.0
1230,!,0,0.0
1231,nu,0,0.0
1232,skal,0,0.0
1233,vi,0,0.0
1234,have,0,0.0
1235,det,0,0.0
1236,Slæng,0,0.0
1237,til,0,0.0
1238,!,0,0.0
1239,ligesom,1,0.0
1240,vi,0,0.0
1241,ikke,0,0.0
1242,vare,0,0.0
1243,nok,1,0.0
1244,alligevel,0,0.0
1245,!,0,0.0
1246,og,0,0.0
1247,fy,0,-2.0
